,Food,Variety,Calories,Fat,Carbs,Protein
738,,LARGE,270,0,74,0
739,,RT 44®,370,0,101,0
740,STRAWBERRY LIMEADE,WACKY PACK®,130,0,35,0
741,,SMALL,160,0,43,0
742,,MEDIUM,210,0,55,0
743,,LARGE,320,0,85,0
744,,RT 44®,430,0,114,0
745,OCEAN WATER®,WACKY PACK®,110,0,30,0
746,,SMALL,140,0,38,0
747,,MEDIUM,180,0,47,0
748,,LARGE,270,0,72,0
749,,RT 44®,380,0,101,0
750,POWERADE® MOUNTAIN BLAST®,WACKY PACK®,70,0,19,0
751,,SMALL,90,0,24,0
752,,MEDIUM,110,0,30,0
753,,LARGE,180,0,47,0
754,,RT 44®,240,0,64,0
755,BLACKBERRY,WACKY PACK®,0,0,1,0
756,,SMALL,0,0,1,0
757,,MEDIUM,0,0,1,0
758,,LARGE,5,0,2,0
759,,RT 44®,10,0,2,0
760,BLUE COCONUT,WACKY PACK®,5,0,2,0
761,,SMALL,5,0,2,0
762,,MEDIUM,15,0,3,0
763,,LARGE,20,0,5,0
764,,RT 44®,25,0,7,0
765,BLUE RASPBERRY,WACKY PACK®,10,0,2,0
766,,SMALL,10,0,2,0
767,,MEDIUM,20,0,5,0
768,,LARGE,30,0,7,0
769,,RT 44®,35,0,9,0
770,CARAMEL TOPPING,WACKY PACK®,60,0,12,0
771,,SMALL,60,0,12,0
772,,MEDIUM,120,0,25,0
773,,LARGE,180,0,38,0
774,,RT 44®,240,0,50,0
775,CHERRY,WACKY PACK®,30,0,8,0
776,,SMALL,30,0,8,0
777,,MEDIUM,60,0,14,0
778,,LARGE,80,0,20,0
779,,RT 44®,100,0,26,0
780,CHERRY GARNISH,WACKY PACK®,10,0,2,0
781,,SMALL,10,0,2,0
782,,MEDIUM,10,0,2,0
783,,LARGE,10,0,2,0
784,,RT 44®,10,0,2,0
785,CHOCOLATE WACKY,WACKY PACK®,50,0,13,0
786,,SMALL,50,0,13,0
787,,MEDIUM,110,0,25,0
788,,LARGE,160,0,38,0
789,,RT 44®,210,0,51,0
790,DIET CHERRY,WACKY PACK®,10,0,2,0
791,,SMALL,10,0,2,0
792,,MEDIUM,10,0,2,0
793,,LARGE,10,0,2,0
794,,RT 44®,10,0,2,0
795,GRAPE,WACKY PACK®,15,0,4,0
796,,SMALL,15,0,4,0
797,,MEDIUM,30,0,7,0
798,,LARGE,45,0,11,0
799,,RT 44®,60,0,15,0
800,GREEN APPLE,WACKY PACK®,5,0,2,0
801,,SMALL,5,0,2,0
802,,MEDIUM,15,0,4,0
803,,LARGE,20,0,5,0
804,,RT 44®,30,0,7,0
805,HOT FUDGE TOPPING,WACKY PACK®,70,0,11,0
806,,SMALL,70,0,11,0
807,,MEDIUM,130,0,22,0
808,,LARGE,200,0,32,0
809,,RT 44®,270,0,43,0
810,JOLLY RANCHER® HARD CANDY,WACKY PACK®,50,0,11,0
811,,SMALL,100,15,190,20
812,,MEDIUM,160,0,34,0
813,,LARGE,210,0,45,0
814,,RT 44®,260,0,55,0
815,LEMON,WACKY PACK®,0,0,1,0
816,,SMALL,0,0,1,0
817,,MEDIUM,0,0,1,0
818,,LARGE,5,0,2,0
819,,RT 44®,5,0,2,0
820,LIME,WACKY PACK®,0,0,1,0
821,,SMALL,0,0,1,0
822,,MEDIUM,0,0,1,0
823,,LARGE,5,0,2,0
824,,RT 44®,5,0,2,0
825,MANGO,WACKY PACK®,0,0,0,0
826,,SMALL,0,0,0,0
827,,MEDIUM,0,0,0,0
828,,LARGE,0,0,0,0
829,,RT 44®,0,0,0,0
830,MINUTE MAID® CRANBERRY,WACKY PACK®,0,0,1,0
831,,SMALL,0,0,1,0
832,,MEDIUM,10,0,2,0
833,,LARGE,15,0,4,0
834,,RT 44®,15,0,5,0
835,ORANGE,WACKY PACK®,5,0,2,0
836,,SMALL,5,0,2,0
837,,MEDIUM,15,0,4,0
838,,LARGE,20,0,5,0
839,,RT 44®,30,0,7,0
840,PEACH,WACKY PACK®,0,0,0,0
841,,SMALL,0,0,0,0
842,,MEDIUM,0,0,0,0
843,,LARGE,0,0,0,0
844,,RT 44®,0,0,0,0
845,PINEAPPLE,WACKY PACK®,25,0,6,0
846,,SMALL,25,0,6,0
