,Food,Size,Calories,Fat,Carbs,Fiber,Protein,Sodium, 
196,Starbucks® Iced Latte - Pumpkin Spice Latte,Grande,270,4.5,45,0,11,190,
197,Tazo® Bottled Berry Blossom White,Tall,60,0,15,0,0,10,
198,Tazo® Bottled Black Mango,Tall,150,0,38,0,0,15,
199,Tazo® Bottled Black with Lemon,Tall,140,0,35,0,0,10,
200,Tazo® Bottled Brambleberry,Tall,140,0,35,0,0,15,
201,Tazo® Bottled Giant Peach,Tall,150,0,37,0,0,15,
202,Tazo® Bottled Iced Passion,Tall,70,0,17,0,0,10,
203,Tazo® Bottled Lemon Ginger,Tall,120,0,31,0,0,10,
204,Tazo® Bottled Organic Black Lemonade,Tall,140,0,35,0,0,10,
205,Tazo® Bottled Organic Iced Black Tea,Tall,60,0,15,0,0,10,
206,Tazo® Bottled Organic Iced Green Tea,Tall,120,0,31,0,0,10,
207,Tazo® Bottled Plum Pomegranate,Tall,140,0,35,0,0,10,
208,Tazo® Bottled Tazoberry,Tall,150,0,38,0,0,15,
209,Tazo® Bottled White Cranberry,5-6oz Can,140,0,35,0,0,10,
210,Tazo® Bottled White Cranberry,Tall,140,0,35,0,0,10,
211,Teavana® Mango Black Tea,15oz Can,100,0,24,0,0,10,
212,Teavana® Passion Tango® Herbal Tea,15oz Can,90,0,21,0,0,10,
213,Teavana® Peach Green Tea,15oz Can,90,0,23,0,0,10,
214,White Chocolate Mocha Bottled Frappuccino,13-7oz Bottle,300,5,55,1,9,150,
215,Freshly Brewed Coffee,,,,,,,,
216,Blonde Roast,Short,5,0,0,0,0,5,
217,,Tall,5,0,0,0,0,10,
218,,Grande,5,0,0,0,1,10,
219,,Venti,5,0,0,0,1,10,
220,Clover® Brewed Coffee,Short,10,0,0,0,0,5,
221,,Tall,10,0,0,0,0,10,
222,,Grande,10,0,0,0,1,10,
223,,Venti,10,0,0,0,1,10,
224,Coffee Traveler,Short,5,0,0,0,1,0,
225,Decaf Pike Place® Roast,Short,5,0,0,0,0,5,
226,,Tall,5,0,0,0,0,5,
227,,Grande,5,0,0,0,1,10,
228,,Venti,5,0,0,0,1,10,
229,Featured Dark Roast,Short,5,0,0,0,0,5,
230,,Tall,5,0,0,0,0,10,
231,,Grande,5,0,0,0,1,10,
232,,Venti,5,0,0,0,1,10,
233,Iced Coffee,Tall,0,0,0,0,0,0,
234,,Grande,5,0,0,0,0,5,
235,,Venti Iced 24oz,5,0,0,0,0,10,
236,,Trenta Iced,5,0,0,0,1,10,
237,Nariño 70 Cold Brew,Tall,0,0,0,0,0,10,
238,,Grande,5,0,0,0,0,15,
239,,Venti Iced 24oz,5,0,0,0,0,20,
240,,Trenta Iced,5,0,0,0,0,25,
241,Nariño 70 Cold Brew with Milk,Tall,0,0,0,0,0,10,
242,,Grande,0,0,0,0,0,0,
243,,Venti Iced 24oz,5,0,0,0,0,20,
244,,Trenta Iced,5,0,0,0,0,25,
245,Nitro Chocolate Crème,Tall,180,6,25,1,7,200,
246,,Grande,280,9,38,1,10,310,
