,Ingredient Type,Food,Calories,Fat,Carbs,Protein
165,,Diced Tomatoes,5,0,1,0
166,,Hot Sauce,0,0,0,0
167,,Anchovies,20,1,0,3
168,,Chorizo,45,1.5,1,7
169,,Garlic,5,0,1,0
170,,Green Chile Peppers,5,0,1,0
171,,Green Olive,25,2,1,0
172,CRUST,Crunchy Thin - serving size is 1/4 of pizza,110,4.5,15,2
173,SAUCE,Pizza Sauce,10,0,2,0
174,,Alfredo Sauce,25,2.5,1,1
175,,BBQ,20,0,4,0
176,,Garlic Parm (White Sauce),50,5,1,0
177,,Hearty Marinara,15,0,3,1
178,CHEESE ONLY PIZZA,Regular Cheese,90,6,3,6
179,,Light Cheese,45,3,1,3
180,,Extra Cheese,130,9,4,8
181,,Double Cheese,130,9,4,8
182,CHEESE PIZZA ALONG WITH OTHER TOPPINGS,Regular Cheese,60,4.5,2,4
183,,Light Cheese,45,3,1,3
184,,Extra Cheese,90,6,3,6
185,,Double Cheese,130,9,4,8
186,1 TOPPING PIZZA,American Cheese,50,4.5,1,3
187,,Bacon,70,5,1,4
188,,Beef,50,4.5,0,3
189,,Black Olives,15,1.5,1,0
190,,Cheddar,30,2.5,0,2
191,,Chicken Grilled,25,1,1,4
192,,Feta Cheese,15,1,0,2
193,,Green Peppers,0,0,0,0
194,,Ham,15,0.5,0,2
195,,Hot Banana Peppers,0,0,1,0
196,,Jalapeno,0,0,0,0
197,,Mushrooms,5,0,1,1
198,,Onions,5,0,1,0
199,,Pepperoni,40,3.5,0,2
200,,Philly Meat,20,1,1,2
201,,Pineapple,10,0,3,0
202,,Provolone,25,1.5,0,1
203,,Roasted Red Pepper,5,0,1,0
204,,Salami,35,3,0,2
205,,Sausage,70,7,0,2
206,,Shredded Parmesan,30,2,0,2
207,,Spinach,0,0,0,0
208,,Diced Tomatoes,5,0,1,0
209,,Hot Sauce,0,0,0,0
210,,Anchovies,15,0.5,0,2
211,,Chorizo,35,1,0,5
212,,Garlic,5,0,1,0
213,,Green Chile Peppers,0,0,0,0
214,,Green Olive,20,1.5,1,0
215,CRUST,Hand Tossed - serving size is 1/8 of pizza,140,3,23,4
216,SAUCE,Pizza Sauce,10,0,2,0
217,,Alfredo Sauce,25,2.5,1,1
218,,BBQ,15,0,3,0
219,,Garlic Parm (White Sauce),50,5,1,0
220,,Hearty Marinara,10,0,2,0
221,CHEESE ONLY PIZZA,Regular Cheese,70,4.5,2,4
222,,Light Cheese,30,2,1,2
223,,Extra Cheese,90,6,3,6
224,,Double Cheese,90,6,3,6
225,CHEESE PIZZA ALONG WITH OTHER TOPPINGS,Regular Cheese,45,3,1,3
226,,Light Cheese,30,2,1,2
227,,Extra Cheese,70,4.5,2,4
228,,Double Cheese,90,6,3,6
229,1 TOPPING PIZZA,American Cheese,40,3,1,2
230,,Bacon,45,3.5,1,3
231,,Beef,35,3,0,2
232,,Black Olives,10,1,0,0
233,,Cheddar,30,2.5,0,2
234,,Chicken Grilled,20,0.5,0,3
235,,Feta Cheese,15,1,0,1
236,,Green Peppers,0,0,0,0
237,,Ham,10,0.5,0,0
238,,Hot Banana Peppers,0,0,0,0
239,,Jalapeno,0,0,0,0
240,,Mushrooms,5,0,0,0
241,,Onions,5,0,1,0
242,,Pepperoni,30,2.5,0,1
243,,Philly Meat,15,0.5,0,1
244,,Pineapple,10,0,2,0
245,,Provolone,25,1.5,0,1
246,,Roasted Red Pepper,0,0,0,0
247,,Salami,30,2.5,0,1
248,,Sausage,50,4.5,0,2
249,,Shredded Parmesan,20,1.5,0,2
250,,Spinach,0,0,0,0
251,,Diced Tomatoes,5,0,0,0
252,,Hot Sauce,0,0,0,0
253,,Anchovies,15,0.5,0,2
254,,Chorizo,25,0.5,0,4
255,,Garlic,5,0,1,0
256,,Green Chile Peppers,0,0,0,0
257,,Green Olive,10,1,0,0
258,CRUST,Crunchy Thin - serving size is 1/4 of pizza,150,6,21,3
259,SAUCE,Pizza Sauce,15,0,3,1
260,,Alfredo Sauce,50,5,1,1
261,,BBQ,30,0,7,0
262,,Garlic Parm (White Sauce),100,10,1,1
263,,Hearty Marinara,20,0,4,1
264,CHEESE ONLY PIZZA,Regular Cheese,140,9,4,9
265,,Light Cheese,60,4.5,2,4
266,,Extra Cheese,180,13,6,12
267,,Double Cheese,180,13,6,12
268,CHEESE PIZZA ALONG WITH OTHER TOPPINGS,Regular Cheese,90,6,3,6
269,,Light Cheese,60,4.5,2,4
270,,Extra Cheese,140,9,4,9
271,,Double Cheese,180,13,6,12
272,1 TOPPING PIZZA,American Cheese,80,6,2,4
273,,Bacon,90,7,2,5
274,,Beef,70,6,0,4
275,,Black Olives,25,2,1,0
276,,Cheddar,60,4.5,0,3
277,,Chicken Grilled,40,1,1,6
278,,Feta Cheese,25,1.5,1,2
279,,Green Peppers,5,0,1,0
280,,Ham,25,1,0,3
281,,Hot Banana Peppers,5,0,1,0
282,,Jalapeno,5,0,1,0
283,,Mushrooms,5,0,1,1
284,,Onions,5,0,1,0
285,,Pepperoni,60,5,0,3
286,,Philly Meat,25,1.5,1,3
287,,Pineapple,15,0,4,0
288,,Provolone,45,3.5,1,3
289,,Roasted Red Pepper,5,0,1,0
290,,Salami,60,4.5,0,3
291,,Sausage,100,9,0,3
292,,Shredded Parmesan,45,3,1,3
293,,Spinach,0,0,0,0
294,,Diced Tomatoes,5,0,1,0
295,,Hot Sauce,0,0,0,0
296,,Anchovies,30,1.5,0,4
297,,Chorizo,45,1.5,1,7
298,,Garlic,5,0,1,0
299,,Green Chile Peppers,5,0,1,0
300,,Green Olive,25,2,1,0
301,CRUST,Pan - serving size is 1/8 of pizza,190,8,26,5
302,SAUCE,Pizza Sauce,5,0,1,0
303,,Alfredo Sauce,25,2.5,1,1
304,,BBQ,20,0,4,0
305,,Garlic Parm (White Sauce),50,5,1,0
306,,Hearty Marinara,5,0,1,0
307,CHEESE ONLY PIZZA,Regular Cheese,90,6,2,6
308,,Light Cheese,70,4.5,2,4
309,,Extra Cheese,100,7,3,7
310,,Double Cheese,100,7,3,7
311,CHEESE PIZZA ALONG WITH OTHER TOPPINGS,Regular Cheese,70,5,2,5
312,,Light Cheese,70,4.5,2,4
313,,Extra Cheese,90,6,2,6
314,,Double Cheese,100,4.5,3,7
315,1 TOPPING PIZZA,American Cheese,40,3,1,2
316,,Bacon,45,3.5,1,3
317,,Beef,35,3,0,2
318,,Black Olives,10,1,0,0
319,,Cheddar,30,2.5,0,2
320,,Chicken Grilled,20,0.5,0,3
321,,Feta Cheese,15,1,0,1
322,,Green Peppers,0,0,0,0
323,,Ham,10,0.5,0,1
324,,Hot Banana Peppers,0,0,0,0
325,,Jalapeno,0,0,0,0
326,,Mushrooms,5,0,0,0
327,,Onions,5,0,1,0
328,,Pepperoni,30,2.5,0,1
329,,Philly Meat,15,0.5,0,1
330,,Pineapple,10,0,2,0
331,,Provolone,25,1.5,0,1
332,,Roasted Red Pepper,0,0,0,0
333,,Salami,30,2.5,0,1
334,,Sausage,50,4.5,0,2
335,,Shredded Parmesan,20,1.5,0,2
336,,Spinach,0,0,0,0
337,,Diced Tomatoes,5,0,0,0
338,,Hot Sauce,0,0,0,0
339,,Anchovies,15,0.5,0,2
340,,Chorizo,25,0.5,0,4
341,,Garlic,5,0,1,0
342,,Green Chile Peppers,0,0,0,0
343,,Green Olive,10,1,0,0
344,CRUST,Hand Tossed - serving size is 1/8 of pizza,180,3.5,31,6
345,,Crunchy Thin - serving size is 1/8 of pizza,100,4,13,2
346,SAUCE,Pizza Sauce,10,0,2,0
347,,Alfredo Sauce,35,3,1,1
348,,BBQ,20,0,5,0
349,,Garlic Parm (White Sauce),60,7,1,0
350,,Hearty Marinara,15,0,3,1
351,CHEESE ONLY PIZZA,Regular Cheese,100,7,3,6
352,,Light Cheese,45,3,1,3
353,,Extra Cheese,130,9,4,8
354,,Double Cheese,130,9,4,8
355,CHEESE PIZZA ALONG WITH OTHER TOPPINGS,Regular Cheese,60,4.5,2,4
356,,Light Cheese,45,3,1,3
357,,Extra Cheese,100,7,3,6
358,,Double Cheese,130,9,4,8
359,1 TOPPING PIZZA,American Cheese,45,4,1,2
360,,Bacon,60,4.5,1,4
361,,Beef,50,4.5,0,3
362,,Black Olives,15,1.5,1,0
363,,Cheddar,35,3,0,2
364,,Chicken Grilled,25,1,1,4
365,,Feta Cheese,15,1,0,2
366,,Green Peppers,0,0,0,0
367,,Ham,15,0.5,0,2
368,,Hot Banana Peppers,0,0,1,0
369,,Jalapeno,0,0,0,0
370,,Mushrooms,5,0,1,1
371,,Onions,5,0,1,0
372,,Pepperoni,40,3.5,0,2
373,,Philly Meat,20,1,1,2
374,,Pineapple,10,0,3,0
375,,Provolone,30,2,1,2
376,,Roasted Red Pepper,5,0,1,0
377,,Salami,35,3,0,2
378,,Sausage,70,7,0,2
379,,Shredded Parmesan,30,2,0,2
380,,Spinach,0,0,0,0
381,,Diced Tomatoes,5,0,1,0
382,,Hot Sauce,0,0,0,0
383,,Anchovies,15,0.5,0,2
384,,Chorizo,35,1,0,5
385,,Garlic,5,0,1,0
386,,Green Chile Peppers,0,0,0,0
387,,Green Olive,20,1.5,1,0
388,CRUST,Brooklyn - serving size is 1/6 of pizza,120,1.5,22,4
389,SAUCE,Pizza Sauce,15,0,3,1
390,,Alfredo Sauce,45,4.5,1,1
391,,BBQ,25,0,6,0
392,,Garlic Parm (White Sauce),90,9,1,1
393,,Hearty Marinara,20,0,3,1
394,CHEESE ONLY PIZZA,Regular Cheese,100,7,3,7
395,,Light Cheese,90,7,2,6
396,,Extra Cheese,120,9,3,8
397,,Double Cheese,150,10,4,10
398,CHEESE PIZZA ALONG WITH OTHER TOPPINGS,Regular Cheese,100,7,3,7
399,,Light Cheese,90,7,2,6
400,,Extra Cheese,120,9,3,8
401,,Double Cheese,150,10,4,10
402,1 TOPPING PIZZA,American Cheese,60,5,1,3
403,,Bacon,80,6,1,5
404,,Beef,70,6,0,4
405,,Black Olives,25,2,1,0
406,,Cheddar,50,4,0,3
407,,Chicken Grilled,35,1,1,5
408,,Feta Cheese,25,1.5,1,2
409,,Green Peppers,5,0,1,0
410,,Ham,20,1,0,2
411,,Hot Banana Peppers,5,0,1,0
412,,Jalapeno,5,0,1,0
413,,Mushrooms,5,0,1,1
414,,Onions,5,0,1,0
415,,Pepperoni,50,4.5,0,2
416,,Philly Meat,25,1.5,1,2
417,,Pineapple,15,0,4,0
418,,Provolone,40,3,1,2
419,,Roasted Red Pepper,5,0,1,0
420,,Salami,50,4,0,3
421,,Sausage,90,9,0,3
422,,Shredded Parmesan,40,2.5,1,3
423,,Spinach,0,0,0,0
424,,Diced Tomatoes,5,0,1,0
425,,Hot Sauce,0,0,0,0
426,,Anchovies,20,1,0,3
427,,Chorizo,45,1.5,1,7
428,,Garlic,5,0,1,0
429,,Green Chile Peppers,5,0,1,0
430,,Green Olive,25,2,1,0
431,CRUST,Hand Tossed - serving size is 1/8 of pizza,240,4.5,41,7
432,SAUCE,Pizza Sauce,15,0,3,1
433,,Alfredo Sauce,45,4,1,1
434,,BBQ,25,0,6,0
435,,Garlic Parm (White Sauce),80,8,1,0
436,,Hearty Marinara,20,0,3,1
437,CHEESE ONLY PIZZA,Regular Cheese,120,8,4,8
438,,Light Cheese,60,4,2,4
439,,Extra Cheese,170,11,5,11
440,,Double Cheese,170,11,5,11
441,CHEESE PIZZA ALONG WITH OTHER TOPPINGS,Regular Cheese,80,6,3,5
442,,Light Cheese,60,4,2,4
443,,Extra Cheese,120,8,4,8
444,,Double Cheese,170,11,5,11
445,1 TOPPING PIZZA,American Cheese,60,5,1,3
446,,Bacon,90,7,2,5
447,,Beef,70,6,0,4
448,,Black Olives,25,2,1,0
449,,Cheddar,50,4,0,3
450,,Chicken Grilled,35,1,1,5
451,,Feta Cheese,20,1.5,1,2
452,,Green Peppers,5,0,1,0
453,,Ham,20,1,0,2
454,,Hot Banana Peppers,5,0,1,0
455,,Jalapeno,5,0,1,0
456,,Mushrooms,5,0,1,1
457,,Onions,5,0,1,0
458,,Pepperoni,50,4.5,0,2
459,,Philly Meat,25,1.5,1,3
460,,Pineapple,15,0,4,0
461,,Provolone,40,3,1,3
462,,Roasted Red Pepper,5,0,1,0
463,,Salami,45,4,0,2
464,,Sausage,90,9,0,3
465,,Shredded Parmesan,35,2.5,0,3
466,,Spinach,0,0,0,0
467,,Diced Tomatoes,5,0,1,0
468,,Hot Sauce,0,0,0,0
469,,Anchovies,15,0.5,0,2
470,,Chorizo,45,1.5,1,7
471,,Garlic,5,0,1,0
472,,Green Chile Peppers,5,0,1,0
473,,Green Olive,25,2,1,0
474,CRUST,Brooklyn - serving size is 1/6 of pizza,170,2,30,5
475,SAUCE,Pizza Sauce,20,0,4,1
476,,Alfredo Sauce,60,5,1,1
477,,BBQ,35,0,8,0
478,,Garlic Parm (White Sauce),110,11,1,1
479,,Hearty Marinara,25,0,5,1
480,CHEESE ONLY PIZZA,Regular Cheese,140,10,3,9
481,,Light Cheese,130,9,3,8
482,,Extra Cheese,160,12,4,11
483,,Double Cheese,190,14,5,13
484,CHEESE PIZZA ALONG WITH OTHER TOPPINGS,Regular Cheese,140,10,3,9
485,,Light Cheese,130,9,3,8
