,Food,Size,Calories,Fat,Carbs,Protein
303,Ohio's Best *Local Specialty*,135.8g,290,14g,29g,11g
304,Super Supreme,141.9g,320,17g,29g,13g
305,Taco Pizza *Local Specialty*,145.6g,310,15g,32g,13g
306,American Chicken Club *Local Specialty*,112.7g,260,13g,26g,10g
307,BBQ Beef,106.7g,240,10g,28g,11g
308,BBQ Chicken *Local Specialty*,99.4g,220,6g,30g,11g
309,BBQ Lover's *Local Specialty*,96.9g,250,9g,30g,10g
310,BLT *Local Specialty*,103.9g,250,12g,25g,9g
311,Badger Special *Local Specialty*,101.4g,230,10g,25g,10g
312,Fiesta Taco (Beef),128.1g,270,11g,32g,10g
313,Fiesta Taco (Chicken),129.1g,250,9g,32g,10g
314,Garden Chicken *Local Specialty*,106g,200,7g,26g,10g
315,Garden Fresh *Local Specialty*,117.2g,190,6g,27g,8g
316,Hawaiian *Local Specialty*,102.6g,200,6g,27g,9g
317,Hawaiian Luau,97.5g,210,7g,26g,9g
318,Ohio's Best *Local Specialty*,122.2g,240,11g,26g,10g
319,Super Supreme,129.4g,280,14g,27g,12g
320,Taco Pizza *Local Specialty*,132g,260,11g,29g,12g
321,American Chicken Club *Local Specialty*,108.2g,250,12g,23g,9g
322,BBQ Beef,96.2g,220,8g,25g,10g
323,BBQ Chicken *Local Specialty*,85.2g,200,5g,27g,10g
324,BBQ Lover's *Local Specialty*,83.8g,230,9g,27g,9g
325,BLT *Local Specialty*,93.1g,230,12g,21g,8g
326,Badger Special *Local Specialty*,94.4g,210,9g,23g,9g
327,Fiesta Taco (Beef),117.6g,250,11g,29g,9g
328,Fiesta Taco (Chicken),118.6g,230,8g,29g,10g
329,Garden Chicken *Local Specialty*,99g,180,6g,23g,9g
330,Garden Fresh *Local Specialty*,110.2g,170,6g,24g,7g
331,Hawaiian *Local Specialty*,99.2g,180,5g,25g,8g
332,Hawaiian Luau,90.5g,190,7g,23g,8g
333,Ohio's Best *Local Specialty*,122g,220,10g,24g,9g
334,Super Supreme,125.8g,260,13g,24g,11g
335,Taco Pizza *Local Specialty*,121.5g,240,11g,26g,11g
336,American Chicken Club *Local Specialty*,177.3g,450,25g,38g,17g
337,BBQ Beef,168.5g,420,20g,41g,18g
338,BBQ Chicken *Local Specialty*,155g,380,16g,42g,18g
339,BBQ Lover's *Local Specialty*,152.9g,420,21g,42g,16g
340,BLT *Local Specialty*,164.1g,430,25g,35g,15g
341,Badger Special *Local Specialty*,160.5g,400,21g,37g,16g
342,Fiesta Taco (Beef),189g,430,22g,44g,15g
343,Fiesta Taco (Chicken),190.4g,400,18g,44g,16g
344,Garden Chicken *Local Specialty*,165.8g,360,16g,38g,16g
345,Garden Fresh *Local Specialty*,180.2g,350,16g,38g,14g
346,Hawaiian *Local Specialty*,162g,350,15g,39g,15g
347,Hawaiian Luau,153.7g,360,17g,37g,15g
348,Ohio's Best *Local Specialty*,190g,420,23g,38g,16g
349,Super Supreme,199.5g,470,27g,38g,19g
350,Taco Pizza *Local Specialty*,200.3g,450,23g,41g,19g
351,American Chicken Club *Local Specialty*,156.1g,360,18g,35g,14g
352,BBQ Beef,148.5g,340,14g,38g,15g
353,BBQ Chicken *Local Specialty*,133.9g,300,8g,40g,15g
354,BBQ Lover's *Local Specialty*,131.8g,330,13g,39g,14g
355,BLT *Local Specialty*,142.9g,350,18g,33g,12g
356,Badger Special *Local Specialty*,139.4g,310,14g,34g,13g
357,Fiesta Taco (Beef),171.5g,360,15g,41g,13g
358,Fiesta Taco (Chicken),172.9g,330,12g,41g,14g
359,Garden Chicken *Local Specialty*,144.6g,270,9g,35g,13g
360,Garden Fresh *Local Specialty*,159.1g,260,9g,36g,11g
361,Hawaiian *Local Specialty*,140.8g,270,8g,36g,12g
362,Hawaiian Luau,133.6g,280,10g,35g,12g
363,Ohio's Best *Local Specialty*,168.9g,330,15g,35g,14g
364,Super Supreme,179.5g,390,20g,35g,16g
365,Taco Pizza *Local Specialty*,179.1g,360,16g,39g,16g
366,American Chicken Club *Local Specialty*,145.5g,340,18g,31g,13g
367,BBQ Beef,132.6g,300,12g,33g,14g
368,BBQ Chicken *Local Specialty*,114.4g,260,8g,34g,14g
369,BBQ Lover's *Local Specialty*,113.2g,310,13g,34g,13g
370,BLT *Local Specialty*,126.3g,320,18g,28g,11g
371,Badger Special *Local Specialty*,126.6g,280,13g,29g,12g
372,Fiesta Taco (Beef),155.1g,330,15g,36g,12g
373,Fiesta Taco (Chicken),156.6g,300,11g,36g,13g
374,Garden Chicken *Local Specialty*,131.8g,240,8g,30g,12g
375,Garden Fresh *Local Specialty*,146.3g,230,8g,31g,10g
376,Hawaiian *Local Specialty*,131.4g,240,8g,32g,12g
377,Hawaiian Luau,120.6g,250,9g,31g,11g
378,Ohio's Best *Local Specialty*,162g,310,15g,31g,13g
379,Super Supreme,169.5g,350,19g,19g,15g
380,Taco Pizza *Local Specialty*,162.8g,330,15g,34g,15g
381,American Chicken Club *Local Specialty*,169.3g,410,22g,36g,16g
382,BBQ Beef,162.9g,380,17g,39g,17g
383,BBQ Chicken *Local Specialty*,149.4g,340,12g,41g,17g
384,BBQ Lover's *Local Specialty*,145.6g,370,16g,41g,16g
385,BLT *Local Specialty*,156.8g,390,22g,34g,14g
386,Badger Special *Local Specialty*,155.7g,360,18g,35g,16g
387,Fiesta Taco (Beef),189.7g,420,20g,43g,16g
388,Fiesta Taco (Chicken),191.1g,390,16g,43g,17g
389,Garden Chicken *Local Specialty*,159.5g,320,13g,37g,15g
390,Garden Fresh *Local Specialty*,166.5g,310,12g,37g,13g
391,Hawaiian *Local Specialty*,154.4g,310,12g,37g,14g
392,Hawaiian Luau,146.4g,320,13g,36g,14g
393,Ohio's Best *Local Specialty*,180.1g,380,19g,36g,15g
394,Super Supreme,190.6g,420,23g,36g,18g
395,Taco Pizza *Local Specialty*,192.9g,410,19g,40g,18g
396,American Chicken Club *Local Specialty*,121.1g,300,15g,29g,11g
397,BBQ Beef,115.6g,270,11g,31g,12g
398,BBQ Chicken *Local Specialty*,109.5g,260,8g,34g,12g
399,BBQ Lover's *Local Specialty*,106.3g,280,12g,34g,10g
400,BLT *Local Specialty*,112.6g,280,15g,28g,9g
401,Badger Special *Local Specialty*,110.7g,260,12g,29g,10g
402,Fiesta Taco (Beef),136.9g,310,14g,35g,10g
403,Fiesta Taco (Chicken),137.9g,290,11g,35g,11g
404,Garden Chicken *Local Specialty*,115.3g,240,9g,29g,10g
405,Garden Fresh *Local Specialty*,126.4g,230,9g,30g,9g
406,Hawaiian *Local Specialty*,111.1g,230,8g,30g,10g
407,Hawaiian Luau,105g,240,9g,29g,9g
408,Ohio's Best *Local Specialty*,128.9g,270,13g,30g,10g
409,Super Supreme,135.5g,310,16g,30g,12g
410,Taco Pizza *Local Specialty*,140.8g,300,14g,32g,13g
411,Hawaiian Luau,258.8g,530,19g,68g,23g
412,Super Supreme,337g,660,31g,69g,28g
413,Cavatini Meat Lover's w/ Garlic Bread,,890,36g,112g,31g
414,Cavatini Meat Sauce w/ Garlic Bread,,1020,43g,115g,41g
415,Cavatini Supreme w/ Garlic Bread,,780,25g,113g,27g
416,Cavatini Veggie Lover's w/ Garlic Bread,,630,10g,113g,21g
417,Chicken Milano Bake w/ Garlic Bread,,890,52g,64g,42g
418,Creamy Chicken Alfredo Bake w/ Garlic Bread,,900,53g,62g,43g
419,Meaty Marinara Bake w/ Garlic Bread,,710,38g,60g,32g
420,Meaty Marinara Bake with Roasted Vegetables w/ Garlic Bread,,750,40g,64g,33g
421,Sausage Italiano Bake w/ Garlic Bread,,830,49g,62g,37g
422,Sausage Italiano Bake with Roasted Vegetables w/ Garlic Bread,,870,51g,65g,37g
423,Sauteed Bacon Carbonara w/ Garlic Bread,,1220,75g,97g,39g
424,Sauteed Chicken Alfredo w/ Garlic Bread,,1170,64g,105g,43g
425,Sauteed Chicken Florentine w/ Garlic Bread,,1140,64g,99g,41g
426,Sauteed Pomodoro Pasta w/ Garlic Bread *Local Specialty*,,770,31g,89g,31g
427,Sauteed Sausage and Pepper Rustica with Garlic Bread,,1020,48g,119g,32g
428,Sauteed Spaghetti with Alfredo w/ Garlic Bread,,1100,62g,104g,31g
429,Sauteed Spaghetti with Marinara w/ Garlic Bread,,860,34g,114g,25g
430,Sauteed Spaghetti with Meat Sauce w/ Garlic Bread,,980,43g,118g,33g
431,Spaghetti with Marinara Sauce and Meatballs w/ Garlic Bread,,980,35g,123g,42g
432,Spaghetti with Marinara Sauce w/ Garlic Bread,,670,12g,115g,22g
433,"Spaghetti with Marinara Sauce, Meatballs, and Mushrooms w/ Garlic Bread",,990,35g,125g,43g
