,Food,Serving Size,Calories,Fat,Carbs,Protein
738,Kosher Big 'n Toasted,1 Sandwich,620,37,47,26
739,Kosher Egg & Cheese Wake Up Wrap,1 Wrap,170,10,14,7
740,Kosher Egg White and Cheese on an English Muffin,1 Sandwich,270,6,37,15
741,Kosher Egg and Cheese on an English Muffin,1 Sandwich,330,14,36,14
742,Kosher Grilled Cheese,1 Sandwich,430,23,40,18
743,Kosher Grilled Cheese with Veggie Bacon,1 Sandwich,490,27,42,20
744,Kosher Tuna Melt on a Croissant,1 Sandwich,570,34,43,22
745,Kosher Tuna Salad on a Plain Bagel,1 Sandwich,440,9,69,21
746,Kosher Veggie Bacon Egg and Cheese on a Plain Bagel,1 Sandwich,540,19,70,22
747,Kosher Veggie Bacon Wake-Up Wrap,1 Wrap,230,14,16,9
748,Kosher Veggie Sausage Egg and Cheese on a Croissant,1 Sandwich,580,34,43,25
749,Kosher Veggie Sausage Wake-Up Wrap,1 Wrap,220,11,16,12
750,Blueberry Muffin,1 Muffin,460,15,76,6
751,Chocolate Chip Muffin,1 Muffin,550,21,83,7
752,Coffee Cake Muffin,1 Muffin,590,24,87,7
753,Corn Muffin,1 Muffin,460,16,72,7
754,Honey Flavored Bran Raisin Muffin,1 Muffin,440,13,69,7
755,Reduced Fat Blueberry Muffin - 25% Less Fat than our regular Blueberry Muffin,1 Muffin,410,10,75,7
756,Cinnamon Munchkin,1 Munchkin,60,3.5,7,1
757,Glazed Blueberry Munchkin,1 Munchkin,70,3.5,9,1
758,Glazed Chocolate Munchkin,1 Munchkin,70,3.5,8,1
759,Glazed Munchkin,1 Munchkin,70,4,7,1
760,Glazed Old Fashioned Munchkin,1 Munchkin,70,3.5,9,1
761,Jelly Munchkin,1 Munchkin,70,4,9,1
762,Old Fashioned Munchkin,1 Munchkin,60,3.5,6,1
763,Powdered Munchkin,1 Munchkin,60,3.5,7,1
764,Multigrain Brown Sugar Oatmeal with Dried Fruit Topping,1 Cup,310,2,66,5
765,Brownie,1 Brownie,440,23,58,3
766,English Muffin,1 Muffin,180,2,34,6
767,Flatbread,1 Flatbread,160,3,29,5
768,Plain Croissant,1 Croissant,340,18,38,6
769,Ground Dark Roast Packaged Coffee,---,---,---,---,---
770,Ground Dunkin Decaf Packaged Coffee,---,---,---,---,---
771,Ground French Vanilla Packaged Coffee,---,---,---,---,---
772,Ground Hazelnut Packaged Coffee,---,---,---,---,---
773,Ground Original Blend Packaged Coffee,---,---,---,---,---
774,Whole Bean Original Blend Packaged Coffee,---,---,---,---,---
775,Dark Roast K-Cup® Pod,---,---,---,---,---
776,Dunkin’ Decaf K-Cup® Pod,---,---,---,---,---
777,French Vanilla K-Cup® Pod,---,---,---,---,---
778,Hazelnut K-Cup® Pod,---,---,---,---,---
779,Original Blend K-Cup® Pod,---,---,---,---,---
780,Bold Breakfast Black Packaged Tea,---,---,---,---,---
781,Chamomile Fields Herbal Infusion Packaged Tea,---,---,---,---,---
782,Cool Mint Herbal Infusion Packaged Tea,---,---,---,---,---
783,Harmony Leaf Green Packaged Tea,---,---,---,---,---
784,Hibiscus Kiss Herbal Infusion Packaged Tea,---,---,---,---,---
785,Strawberry Banana Smoothie Large,Large,570,4.5,125,9
