,Food,Type,Size,Calories,Fat,Carbs,Protein
805,Lipton Ice Tea Pomegranate Blueberry,,20 Oz,130,0g,33g,0g
806,Mtn Dew Throwback,,20 Oz,280,0g,73g,0g
807,Pibb Xtra,,20 Oz,250,0g,65g,0g
808,Powerade Mountain Blast,,20 Oz,130,0g,35g,0g
809,SoBe Blackberry Blueberry,,20 Oz,0,0g,8g,0g
810,SoBe Energize Power Fruit Punch,,20 Oz,250,0g,65g,0g
811,SoBe Energy Citrus,,20 Oz,250,0g,64g,0g
812,SoBe Fuji Apple,,20 Oz,0,0g,8g,0g
813,SoBe Pomegranate Cherry,,20 Oz,100,0g,26g,0g
814,SoBe Strawberry Daquiri,,20 Oz,250,0g,63g,0g
815,SoBe Strawberry Dragonfruit,,20 Oz,0,0g,8g,0g
816,SoBe Strawberry Kiwi,,20 Oz,100,0g,26g,0g
817,SoBe Yumberry Pomegranate,,20 Oz,0,0g,8g,0g
818,Vanilla Pepsi,,20 Oz,250,0g,66g,0g
819,Vanilla Pepsi Real Sugar,,20 Oz,250,0g,66g,0g
820,Cherry Vanilla Pepsi,,20 Oz,220,0g,59g,0g
821,,,2 Liter,740,0g,200g,0g
822,Crystal Pepsi,,20 Oz,250,0g,69g,0g
823,,,2 Liter,850,0g,233g,0g
824,LIFEWTR,,23 Oz,0,0g,0g,0g
825,Montellier Sparkling Water,,17 Oz,0,0g,0g,0g
826,Starbucks Doubleshot Energy Vanilla,,15 Oz,210,2.5g,34g,10g
827,Lipton Pure Leaf Half and Half,,18.5 Oz,160,42g,0g,0g
828,Lipton Pureleaf Diet Lemon Tea,,18.5 Oz,10,0g,0g,0g
829,Lipton Pureleaf Diet Peach Tea,,18.5 Oz,0,0g,0g,0g
830,Lipton Pureleaf ExtraSweet Tea,,18.5 Oz,250,0g,65g,0g
831,Lipton Pureleaf Green Tea,,18.5 Oz,100,0g,25g,0g
832,Lipton Pureleaf Lemon,,18.5 Oz,160,0g,41g,0g
833,Lipton Pureleaf NTS Peach Tea,,18.5 Oz,100,0g,26g,0g
834,Lipton Pureleaf Peach Tea,,18.5 Oz,110,0g,29g,0g
835,Lipton Pureleaf Raspberry Tea,,18.5 Oz,180,0g,46g,0g
836,Lipton Pureleaf Sweet Tea,,18.5 Oz,160,0g,42g,0g
837,Lipton Pureleaf Unsweet tea,,18.5 Oz,0,0g,0g,0g
838,AMP,,16 Oz,220,0g,58g,1g
839,Blueberry Pomegranate,,16 Oz,80,0g,20g,0g
840,Mountain Dew Kickstart Black Cherry,,16 Oz,80,0g,20g,0g
841,Mountain Dew Kickstart Fruit Punch,,16 Oz,80,0g,20g,0g
842,Mountain Dew Kickstart Kiwi Strawberry,,12 Oz,60,0g,15g,0g
843,,,16 Oz,80,0g,20g,0g
844,Mountain Dew Kickstart Lime,,16 Oz,80,0g,20g,0g
845,Mountain Dew Kickstart Orange Citrus,,16 Oz,80,0g,21g,0g
846,Rockstar,,16 Oz,280,0g,61g,0g
847,Rockstar Fruit Punch,,16 Oz,260,0g,62g,0g
848,Rockstar Lemonade,,16 Oz,20,0g,6g,0g
849,Rockstar Recovery,,16 Oz,20,0g,6g,0g
850,Rockstar Sugar Free,,16 Oz,20,0g,3g,1g
851,Rockstar Xtra,,16 Oz,280,0g,64g,0g
852,Lipton Sparkling Tea Raspberry,,12 Oz,70,0g,18g,0g
853,Mountain Dew Kickstart Blood Orange,,12 Oz,60,0g,15g,0g
854,Mountain Dew Kickstart Blueberry Pomegranate,,12 Oz,60,0g,15g,0g
855,Mountain Dew Kickstart Energizing Watermelon,,12 Oz,60,0g,16g,0g
856,Mountain Dew Kickstart Pineapple Orange,,12 Oz,60,0g,15g,0g
857,Mtn Dew Kickstart Pineapple Orange Mango,,12 Oz,60,0g,15g,0g
858,Pepsi Max,,12 Oz,0,0g,0g,0g
859,Pepsi Mexico,,12 Oz,220,0g,58g,0g
860,Starbucks Refreshers Strawberry Lemonade,,12 Oz,90,0g,27g,0g
861,Hawaiian Fruit Punch,,12 Oz,200,0g,50g,0g
862,Crust,Original Crust,Pizza for One,120,2g,23g,3g
863,,,Small,130,2g,23g,4g
864,,,Medium,130,2g,24g,4g
865,,,Large,190,2.5g,34g,5g
866,,,Extra Large,200,3g,36g,6g
867,,Thin Crust,,110,4g,16g,3g
868,,Pan Crust,,180,2.5g,32g,5g
869,,Gluten Free,,90,2.5g,17g,2g
870,Cheese,Original Crust,Pizza for One,50,4g,1g,3g
871,,,Small,45,3.5g,1g,3g
872,,,Medium,50,4g,1g,3g
873,,,Large,70,5g,1g,4g
874,,,Extra Large,70,5g,1g,4g
875,,Thin Crust,,70,5g,1g,4g
876,,Pan Crust,,70,5g,1g,4g
877,,Gluten Free,,45,3.5g,1g,3g
878,Light Cheese,Original Crust,Pizza for One,40,3g,1g,2g
879,,,Small,35,2.5g,1g,2g
880,,,Medium,35,2.5g,1g,2g
881,,,Large,50,4g,1g,3g
882,,,Extra Large,50,4g,1g,3g
883,,Thin Crust,,50,4g,1g,3g
884,,Pan Crust,,50,4g,1g,3g
885,,Gluten Free,,35,2.5g,1g,2g
886,Extra Cheese,Original Crust,Pizza for One,70,5g,1g,4g
887,,,Small,60,4.5g,1g,4g
888,,,Medium,70,5g,1g,4g
889,,,Large,90,6g,2g,5g
890,,,Extra Large,80,6g,2g,5g
891,,Thin Crust,,90,6g,2g,5g
892,,Pan Crust,,90,6g,2g,5g
893,,Gluten Free,,60,4.5g,1g,4g
894,BBQ Sauce,Original Crust,Pizza for One,25,0g,6g,0g
895,,,Small,20,0g,5g,0g
896,,,Medium,25,0g,6g,0g
897,,,Large,35,0g,8g,0g
898,,,Extra Large,35,0g,9g,0g
899,,Thin Crust,,35,0g,8g,0g
900,,Pan Crust,,25,0g,6g,0g
901,,Gluten Free,,20,0g,5g,0g
902,BBQ Sauce-Light,Original Crust,Pizza for One,10,0g,3g,0g
903,,,Small,0,0g,0g,0g
904,,,Medium,10,0g,3g,0g
905,,,Large,15,0g,4g,0g
906,,,Extra Large,20,0g,5g,0g
907,,Thin Crust,,15,0g,4g,0g
908,,Pan Crust,,10,0g,3g,0g
909,,Gluten Free,,0,0g,0g,0g
910,BBQ Sauce-Extra,Original Crust,Pizza for One,30,0g,8g,0g
911,,,Small,35,0g,8g,0g
912,,,Medium,35,0g,8g,0g
913,,,Large,45,0g,11g,0g
914,,,Extra Large,45,0g,11g,0g
915,,Thin Crust,,45,0g,11g,0g
916,,Pan Crust,,35,0g,8g,0g
917,,Gluten Free,,35,0g,8g,0g
918,Original Sauce,Original Crust,Pizza for One,10,0g,1g,0g
919,,,Small,10,0g,1g,0g
920,,,Medium,10,0g,1g,0g
921,,,Large,15,0.5g,2g,0g
922,,,Extra Large,15,0.5g,2g,0g
923,,Thin Crust,,15,0.5g,2g,0g
924,,Pan Crust,,10,0g,1g,0g
925,,Gluten Free,,10,0g,1g,0g
926,Original Sauce-Light,Original Crust,Pizza for One,5,0g,1g,0g
927,,,Small,5,0g,1g,0g
928,,,Medium,5,0g,1g,0g
929,,,Large,10,0g,2g,0g
930,,,Extra Large,10,0g,2g,0g
931,,Thin Crust,,10,0g,2g,0g
932,,Pan Crust,,5,0g,1g,0g
933,,Gluten Free,,5,0g,1g,0g
934,Original Sauce-Extra,Original Crust,Pizza for One,15,0.5g,2g,0g
935,,,Small,15,0g,2g,0g
936,,,Medium,15,0.5g,2g,0g
937,,,Large,20,0.5g,3g,0g
938,,,Extra Large,20,0.5g,3g,0g
939,,Thin Crust,,20,0.5g,3g,0g
940,,Pan Crust,,15,0.5g,2g,0g
941,,Gluten Free,,15,0g,2g,0g
942,Ranch Sauce,Original Crust,Pizza for One,35,3.5g,1g,0g
943,,,Small,35,3.5g,1g,0g
944,,,Medium,35,3.5g,1g,0g
945,,,Large,50,5g,1g,0g
946,,,Extra Large,60,6g,1g,0g
947,,Thin Crust,,50,5g,1g,0g
948,,Pan Crust,,35,3.5g,1g,0g
949,,Gluten Free,,35,3.5g,1g,0g
950,Ranch Sauce-Light,Original Crust,Pizza for One,25,2.5g,0g,0g
951,,,Small,15,2g,0g,0g
952,,,Medium,15,1.5g,0g,0g
953,,,Large,25,2.5g,0g,0g
954,,,Extra Large,30,3g,0g,0g
955,,Thin Crust,,25,2.5g,0g,0g
956,,Pan Crust,,15,1.5g,0g,0g
957,,Gluten Free,,15,2g,0g,0g
958,Ranch Sauce-Extra,Original Crust,Pizza for One,75,7g,1g,0g
959,,,Small,45,4.5g,1g,0g
960,,,Medium,50,5g,1g,0g
961,,,Large,70,7g,1g,0g
962,,,Extra Large,80,8g,1g,0g
963,,Thin Crust,,70,7g,1g,0g
964,,Pan Crust,,50,5g,1g,0g
965,,Gluten Free,,45,4.5g,1g,0g
966,Spinach Alfredo Sauce,Original Crust,Pizza for One,25,2.5g,0g,1g
967,,,Small,15,1.5g,1g,1g
968,,,Medium,20,1.5g,1g,1g
969,,,Large,25,2.5g,1g,1g
970,,,Extra Large,30,3g,1g,1g
971,,Thin Crust,,25,2.5g,1g,1g
972,,Pan Crust,,20,1.5g,1g,1g
973,,Gluten Free,,15,1.5g,0g,1g
974,Spinach Alfredo Sauce-Light,Original Crust,Pizza for One,15,1g,0g,0g
975,,,Small,10,1g,0g,0g
976,,,Medium,10,1g,0g,0g
977,,,Large,15,1g,0g,0g
978,,,Extra Large,15,1.5g,0g,0g
979,,Thin Crust,,15,1g,0g,0g
980,,Pan Crust,,10,1g,0g,0g
981,,Gluten Free,,10,1g,0g,0g
982,Spinach Alfredo Sauce-Extra,Original Crust,Pizza for One,35,3g,1g,1g
983,,,Small,25,2.5g,1g,1g
984,,,Medium,25,2.5g,1g,1g
985,,,Large,40,3.5g,1g,1g
986,,,Extra Large,40,3.5g,1g,1g
987,,Thin Crust,,40,3.5g,1g,1g
988,,Pan Crust,,25,2.5g,1g,1g
989,,Gluten Free,,25,2.5g,1g,1g
990,Anchovies,Original Crust,Pizza for One,10,0g,0g,1g
991,,,Small,10,0g,0g,1g
992,,,Medium,10,0g,0g,1g
993,,,Large,10,0g,0g,1g
994,,,Extra Large,10,0g,0g,1g
995,,Thin Crust,,10,0g,0g,1g
996,,Pan Crust,,10,0g,0g,1g
997,,Gluten Free,,10,0g,0g,1g
998,Bacon,Original Crust,Pizza for One,35,2.5g,1g,2g
999,,,Small,35,2.5g,1g,2g
1000,,,Medium,35,3g,1g,2g
1001,,,Large,50,3.5g,1g,3g
1002,,,Extra Large,50,3.5g,1g,3g
1003,,Thin Crust,,50,3.5g,1g,3g
1004,,Pan Crust,,35,2.5g,1g,2g
1005,,Gluten Free,,35,2.5g,1g,2g
1006,Banana Peppers,Original Crust,Pizza for One,0,0g,0g,0g
1007,,,Small,0,0g,0g,0g
1008,,,Medium,0,0g,0g,0g
1009,,,Large,0,0g,0g,0g
1010,,,Extra Large,0,0g,0g,0g
1011,,Thin Crust,,0,0g,0g,0g
1012,,Pan Crust,,0,0g,0g,0g
1013,,Gluten Free,,0,0g,0g,0g
1014,Beef,Original Crust,Pizza for One,25,2g,0g,1g
1015,,,Small,30,2.5g,0g,1g
1016,,,Medium,30,2.5g,0g,2g
1017,,,Large,40,3.5g,0g,2g
1018,,,Extra Large,40,3.5g,0g,2g
1019,,Thin Crust,,40,3.5g,0g,2g
1020,,Pan Crust,,30,2.5g,0g,2g
1021,,Gluten Free,,30,2.5g,0g,1g
1022,Black Olives,Original Crust,Pizza for One,10,1g,0g,0g
1023,,,Small,10,1g,0g,0g
1024,,,Medium,10,1g,0g,0g
1025,,,Large,15,1.5g,0g,0g
1026,,,Extra Large,15,1.5g,0g,0g
1027,,Thin Crust,,15,1.5g,0g,0g
1028,,Pan Crust,,10,1g,0g,0g
1029,,Gluten Free,,10,1g,0g,0g
1030,Canadian Bacon,Original Crust,Pizza for One,10,0g,0g,2g
1031,,,Small,10,0.5g,0g,2g
1032,,,Medium,15,0.5g,0g,2g
1033,,,Large,20,1g,0g,2g
1034,,,Extra Large,20,1g,0g,2g
1035,,Thin Crust,,20,1g,0g,2g
1036,,Pan Crust,,15,0.5g,0g,2g
1037,,Gluten Free,,10,0.5g,0g,2g
1038,Chicken,Original Crust,Pizza for One,20,0g,0g,4g
1039,,,Small,15,0g,0g,3g
1040,,,Medium,15,0g,0g,4g
1041,,,Large,20,0g,0g,5g
1042,,,Extra Large,20,0g,0g,5g
1043,,Thin Crust,,20,0g,0g,5g
1044,,Pan Crust,,15,0g,0g,4g
1045,,Gluten Free,,15,0g,0g,3g
1046,Parmesan/Romano,Original Crust,Pizza for One,15,1g,0g,1g
1047,,,Small,15,1g,0g,1g
1048,,,Medium,15,1g,0g,1g
1049,,,Large,20,1.5g,0g,2g
1050,,,Extra Large,20,1.5g,0g,2g
1051,,Thin Crust,,20,1.5g,0g,2g
1052,,Pan Crust,,15,1g,0g,1g
1053,,Gluten Free,,15,1g,0g,1g
1054,Three Cheese Blend,Original Crust,Pizza for One,20,1.5g,0g,1g
1055,,,Small,20,1.5g,0g,1g
1056,,,Medium,20,1.5g,0g,2g
1057,,,Large,25,2g,0g,2g
1058,,,Extra Large,25,2g,0g,2g
1059,,Thin Crust,,25,2g,0g,2g
1060,,Pan Crust,,20,1.5g,0g,2g
1061,,Gluten Free,,20,1.5g,0g,1g
1062,Green Olives,Original Crust,Pizza for One,10,1g,0g,0g
1063,,,Small,5,0.5g,0g,0g
1064,,,Medium,10,1g,0g,0g
1065,,,Large,10,1g,0g,0g
1066,,,Extra Large,10,1g,0g,0g
1067,,Thin Crust,,10,1g,0g,0g
1068,,Pan Crust,,10,1g,0g,0g
1069,,Gluten Free,,5,0.5g,0g,0g
1070,Green Pepper,Original Crust,Pizza for One,0,0g,0g,0g
1071,,,Small,0,0g,0g,0g
1072,,,Medium,0,0g,0g,0g
1073,,,Large,0,0g,0g,0g
1074,,,Extra Large,0,0g,0g,0g
1075,,Thin Crust,,0,0g,0g,0g
1076,,Pan Crust,,0,0g,0g,0g
