,Food,Size, 
102,"Grilled Tuscan Chicken Sandwich (add side choice)
Calories: 800
Fat: 49
Carbs: 43
Protein: 50",,Price
103,"Honey Buttermilk Chicken Tender Sandwich
Calories: 530
Fat: 24
Carbs: 57
Protein: 25",,Price
104,"Mega Philly Cheese Melt w/ Grilled Chicken Breast (add side choice)
Calories: 810
Fat: 43
Carbs: 56
Protein: 53",,Price
105,"Mega Philly Cheese Melt w/ Prime Rib (add side choice)
Calories: 910
Fat: 52
Carbs: 62
Protein: 50",,Price
106,"Pot Roast Melt (add side choice)
Calories: 870
Fat: 46
Carbs: 54
Protein: 63",,Price
107,"The Super Bird (add side choice)
Calories: 600
Fat: 28
Carbs: 43
Protein: 40",,Price
108,"Chicken Noodle Soup - bowl / cup
Calories: 390/260
Fat: 15/10
Carbs: 43/28
Protein: 21/14",,Price
109,"Loaded Baked Potato Soup - bowl / cup
Calories: 470/360
Fat: 31/24
Carbs: 36/25
Protein: 12/10",,Price
110,"Vegetable Beef Soup - bowl / cup
Calories: 310/200
Fat: 16/11
Carbs: 40/27
Protein: 16/11",,Price
111,"Bacon Cheddar Tots
Calories: 300
Fat: 15
Carbs: 31
Protein: 10",,Price
112,"Beer-Battered Onion Rings
Calories: 400
Fat: 27
Carbs: 35
Protein: 4",,Price
113,"Caesar Side Salad
Calories: 260
Fat: 20
Carbs: 16
Protein: 6",,Price
114,"Garden Side Salad (add dressing choice)
Calories: 170
Fat: 9
Carbs: 16
Protein: 8",,Price
115,"Seasonal Fruit
Calories: 110
Fat: 0
Carbs: 27
Protein: 1",,Price
116,"Seasoned Fries
Calories: 490
Fat: 26
Carbs: 57
Protein: 7",,Price
117,"Wavy-Cut Fries
Calories: 400
Fat: 22
Carbs: 46
Protein: 4",,Price
118,"America's Diner Double (add side choice)
Calories: 1,220
Fat: 80
Carbs: 51
Protein: 74",,Price
119,"Single (add side choice)
Calories: 790
Fat: 47
Carbs: 50
Protein: 41",,Price
120,"Bacon Avocado Cheeseburger (add side choice)
Calories: 1,000
Fat: 66
Carbs: 53
Protein: 50",,Price
121,"Bourbon Bacon Burger (add side choice)
Calories: 910
Fat: 51
Carbs: 64
Protein: 50",,Price
122,"Double Cheeseburger (add cheese & side choice)
Calories: 980
Fat: 56
Carbs: 50
Protein: 66",,Price
123,"Slamburger™ (add egg & side choice)
Calories: 870
Fat: 51
Carbs: 55
Protein: 48",,Price
124,"Spicy Sriracha Burger (add side choice)
Calories: 920
Fat: 55
Carbs: 55
Protein: 49",,Price
125,"100% Beef Patty
Calories: 360
Fat: 26
Carbs: 0
Protein: 29",,Price
